restaurant_title,restaurant_address,restaurant_page,restaurant_note
新營MG流星花園柚香雞,臺南市新營區三民路17號,https://ifoodie.tw/restaurant/642199f201ba3324eb216f3f-%E6%96%B0%E7%87%9FMG%E6%B5%81%E6%98%9F%E8%8A%B1%E5%9C%92%E6%9F%9A%E9%A6%99%E9%9B%9E,https://ifoodie.tw/blog/642198375a45ed5ea09ea908/link
南光大飯店,臺南市新營區成功街3號,https://ifoodie.tw/restaurant/63f0d36101ba333bb26d57d7-%E5%8D%97%E5%85%89%E5%A4%A7%E9%A3%AF%E5%BA%97,https://ifoodie.tw/blog/6420330533ebbf652491fad6/link
新營當家小舖(當家食堂）,臺南市新營區三民路6之1號,https://ifoodie.tw/restaurant/64185f9301ba3313ca6dd2fc-%E6%96%B0%E7%87%9F%E7%95%B6%E5%AE%B6%E5%B0%8F%E8%88%96-%E7%95%B6%E5%AE%B6%E9%A3%9F%E5%A0%82-,https://ifoodie.tw/blog/64185dab8f5aee4158cf67b5/link
甜玉軒 Story&Jam,臺南市新營區信義街72巷10號,https://ifoodie.tw/restaurant/651932600fe5a90d9f08bcbe-%E7%94%9C%E7%8E%89%E8%BB%92-Story-Jam,https://ifoodie.tw/blog/6409dab6038c77682807e83a/link
顏記水餃牛肉麵,臺南市新營區三民路26號,https://ifoodie.tw/restaurant/64073c0e01ba33561f92c1a0-%E9%A1%8F%E8%A8%98%E6%B0%B4%E9%A4%83%E7%89%9B%E8%82%89%E9%BA%B5,
緣來一家小籠包、蒸餃、蘿蔔糕專賣店,臺南市新營區東興路147號,https://ifoodie.tw/restaurant/61e02b1f7cc7fc75406f734d-%E7%B7%A3%E4%BE%86%E4%B8%80%E5%AE%B6%E5%B0%8F%E7%B1%A0%E5%8C%85-%E8%92%B8%E9%A4%83-%E8%98%BF%E8%94%94%E7%B3%95%E5%B0%88%E8%B3%A3%E5%BA%97,https://ifoodie.tw/blog/6401f44ca69da56f466e9c39/link
巴黎兩隻貓,臺南市新營區三民路94之1號,https://ifoodie.tw/restaurant/651937ff0fe5a912bab772cc-%E5%B7%B4%E9%BB%8E%E5%85%A9%E9%9A%BB%E8%B2%93,https://ifoodie.tw/blog/63f616e957d7a90b756c78b1/link
21Plus 新營三民店,臺南市新營區三民路89之2號,https://ifoodie.tw/restaurant/63e1004f01ba3361a5a734c2--Plus-%E6%96%B0%E7%87%9F%E4%B8%89%E6%B0%91%E5%BA%97,https://ifoodie.tw/blog/63e0fec0fd34862079c50275/link
新營家樂福店 TASTY西堤牛排,臺南市新營區健康路251號,https://ifoodie.tw/restaurant/61e02af57cc7fc75406f731f-%E6%96%B0%E7%87%9F%E5%AE%B6%E6%A8%82%E7%A6%8F%E5%BA%97-TASTY%E8%A5%BF%E5%A0%A4%E7%89%9B%E6%8E%92,https://ifoodie.tw/blog/63bd6668d1c36446301ba16c/link
樸拾 Pushi 日式料理,臺南市新營區中山路242號,https://ifoodie.tw/restaurant/61e0cf52781cc075f86253e8-%E6%A8%B8%E6%8B%BE-Pushi-%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86,
C&P CAFE,臺南市新營區93之2號,https://ifoodie.tw/restaurant/63bc169801ba3372d6cf07f6-C-P-CAFE,https://ifoodie.tw/blog/63bc14c4aa5dfb1806ca48bb/link
隨園食鍋 Be Garden,臺南市新營區東興路247號,https://ifoodie.tw/restaurant/628cccffcd995776749067d6-%E9%9A%A8%E5%9C%92%E9%A3%9F%E9%8D%8B-Be-Garden,https://ifoodie.tw/blog/63a84e45c32e307d0226f7af/link
